time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
0.000027127,0.000025431,0.000025431,4319.000000000,-0.998662698,0.999974569,0.999974569
0.000054253,0.000049167,0.000049167,5759.000000000,-0.998675796,0.999950833,0.999950833
0.000081380,0.000059340,0.000059340,6191.000000000,-0.998679554,0.999940660,0.999940660
0.000108507,0.000072903,0.000072903,5231.000000000,-0.998678608,0.999927097,0.999927097
0.000135634,0.000093248,0.000093248,4847.000000000,-0.998667095,0.999906752,0.999906752
0.000162760,0.000105116,0.000105116,4799.000000000,-0.998677015,0.999894884,0.999894884
0.000189887,0.000127157,0.000127157,4127.000000000,-0.998665842,0.999872843,0.999872843
0.000217014,0.000154283,0.000154283,3363.800000000,-0.998668753,0.999845717,0.999845717
0.000271267,0.000193278,0.000193278,3258.200000000,-0.998659661,0.999806722,0.999806722
0.000325521,0.000242445,0.000242445,2313.971428571,-0.998669726,0.999757555,0.999757555
0.000379774,0.000283135,0.000283135,1972.942857143,-0.998663831,0.999716865,0.999716865
0.000434028,0.000339084,0.000339084,1632.142857143,-0.998682189,0.999660916,0.999660916
0.000515408,0.000408596,0.000408596,1352.153246753,-0.998684180,0.999591404,0.999591404
0.000596788,0.000478109,0.000478109,1107.481118881,-0.998661836,0.999521891,0.999521891
0.000678168,0.000530667,0.000530667,994.798601399,-0.998670495,0.999469333,0.999469333
0.000786675,0.000613742,0.000615438,850.764692450,-0.998670143,0.999387105,0.999387105
0.000895182,0.000712077,0.000713772,729.579780514,-0.998672039,0.999288771,0.999288771
0.001030816,0.000807020,0.000808716,641.736673527,-0.998675178,0.999193827,0.999193827
0.001166450,0.000924004,0.000925700,557.496816231,-0.998636457,0.999076843,0.999076843
0.001329210,0.001040988,0.001042684,496.632305559,-0.998652660,0.998959859,0.998959859
0.001491970,0.001186795,0.001188490,430.533342164,-0.998662853,0.998814053,0.998814053
0.001681858,0.001337687,0.001341078,382.252197348,-0.998638114,0.998664008,0.998664008
0.001898872,0.001497057,0.001500448,339.923780051,-0.998631688,0.998504639,0.998504639
0.002115885,0.001654731,0.001658122,306.392555742,-0.998657944,0.998346965,0.998346965
0.002360026,0.001849704,0.001853095,274.385823396,-0.998673441,0.998151991,0.998151991
0.002631293,0.002037896,0.002041287,248.592972240,-0.998639336,0.997963799,0.997963799
0.002929688,0.002280341,0.002285428,222.736241319,-0.998662505,0.997722202,0.997722202
0.003282335,0.002548218,0.002554999,198.875895040,-0.998659236,0.997455173,0.997455173
0.003662109,0.002858480,0.002866957,176.847588297,-0.998687533,0.997145759,0.997145759
0.004069010,0.003177219,0.003185696,158.080250553,-0.998685456,0.996827020,0.996827020
0.004530165,0.003556993,0.003575643,141.528178816,-0.998701150,0.996449788,0.996449788
