time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.099821303,0.139870538,6.017580499,-2.199088302,0.911387126,0.002360026
2,0.168492635,0.305458917,4.379018033,-2.199146799,0.866456774,0.002371894
3,0.222820706,0.475870768,3.792992286,-2.198928575,0.836930169,0.002361721
4,0.271552192,0.656531440,3.451655623,-2.198382778,0.813725789,0.002351549
5,0.315214369,0.841483222,3.234009795,-2.198612341,0.794811673,0.002352397
6,0.356667413,1.036887275,3.075603751,-2.198761472,0.778229607,0.002354092
7,0.395501031,1.234017266,2.944981011,-2.198565163,0.763799032,0.002353244
8,0.433488634,1.444937812,2.843872626,-2.198333834,0.750662910,0.002343072
10,0.505137126,1.875288222,2.672127124,-2.198900362,0.727695889,0.002361721
12,0.571846856,2.310078939,2.531222106,-2.198184162,0.707437303,0.002349854
14,0.636137221,2.771694607,2.423870366,-2.198183452,0.689396328,0.002326965
16,0.699895223,3.273832533,2.341272693,-2.197925944,0.672479418,0.002344767
19,0.789194743,4.029310438,2.234134307,-2.197459845,0.650296529,0.002319336
22,0.876071506,4.811584473,2.134574208,-2.198134279,0.630302429,0.002336290
25,0.958501180,5.620354546,2.059129065,-2.198194190,0.612960815,0.002349006
29,1.068313599,6.771653917,1.966823328,-2.198305941,0.590901693,0.002351549
33,1.174119737,7.960532294,1.887571482,-2.198568977,0.570894877,0.002304077
38,1.305191040,9.550983005,1.803356763,-2.198146341,0.548089769,0.002313402
43,1.430504693,11.152926975,1.725508381,-2.198346732,0.527642992,0.002325270
49,1.581593831,13.283737183,1.654589719,-2.198321755,0.505260891,0.002296448
55,1.728447808,15.516438802,1.596455772,-2.197543306,0.485129462,0.002315945
62,1.895316230,18.213199192,1.534967653,-2.197747255,0.464073181,0.002311707
70,2.089060465,21.607067532,1.475225811,-2.196525328,0.441809760,0.002244737
78,2.280197144,25.207382202,1.424273869,-2.195809241,0.421612210,0.002219306
87,2.487457275,29.337424384,1.370863056,-2.196652815,0.400509304,0.002238803
97,2.713936700,34.043558757,1.311294291,-2.196898915,0.379863315,0.002267626
108,2.957227919,39.537100898,1.260525792,-2.197059253,0.359510634,0.002262539
121,3.239764743,46.407323201,1.210780038,-2.197306861,0.338064406,0.002234565
135,3.541385227,54.202346802,1.160986117,-2.197381815,0.317008124,0.002238803
150,3.863883124,63.203925239,1.116632509,-2.197273183,0.297220018,0.002202352
167,4.216332330,73.767695109,1.074904925,-2.197967695,0.277708266,0.002216763
186,4.611482408,86.292878893,1.028921332,-2.198244415,0.257531060,0.002253215
207,5.036090427,100.860424466,0.988359515,-2.197769597,0.239097595,0.002215068
230,5.500890096,118.121829563,0.951828517,-2.197203701,0.220665826,0.002214220
255,6.004594591,137.730136447,0.909841141,-2.197426268,0.203094482,0.002211677
283,6.568242391,161.913443671,0.876357830,-2.197099879,0.186476813,0.002215068
313,7.166181776,188.922122531,0.839210668,-2.197883194,0.170636495,0.002272712
347,7.827448527,220.750757853,0.801095734,-2.197636003,0.154655457,0.002252367
384,8.550026788,258.337627835,0.766571151,-2.197801476,0.140534295,0.002276950
425,9.352608575,303.435455322,0.734190900,-2.198649437,0.126619975,0.002233717
470,10.222245958,355.767023722,0.702011521,-2.197199835,0.114245945,0.002237956
519,11.163969252,417.395685832,0.674318547,-2.198678143,0.102645026,0.002165900
573,12.190270318,489.996459961,0.648526447,-2.198371966,0.091664632,0.002215068
633,13.332209269,574.473097059,0.615802468,-2.198291357,0.081234402,0.002184550
699,14.573284573,675.487860786,0.590013842,-2.199369588,0.072345310,0.002136230
771,15.910629272,790.618214925,0.561349064,-2.200009780,0.064238654,0.002177768
851,17.406250000,931.237433539,0.536503131,-2.200364275,0.056322734,0.002117581
939,19.032718235,1097.926428901,0.515192602,-2.200111917,0.049643623,0.002087911
1036,20.815292358,1292.150560167,0.490944542,-2.201366019,0.043381585,0.002042135
1142,22.752020942,1520.646933662,0.468528584,-2.201151864,0.037970649,0.002025180
1259,24.906490750,1794.439700656,0.446062791,-2.199412913,0.033213298,0.002109104
1388,27.305191040,2126.011201647,0.425553117,-2.198387368,0.028828091,0.002051459
1530,29.897555881,2513.506781684,0.405792015,-2.198503655,0.024921841,0.001909892
1686,32.731814914,2969.733701918,0.385689707,-2.200149939,0.021837870,0.001901415
1857,35.801227146,3505.356621636,0.367115652,-2.200371292,0.019170125,0.001853943
2046,39.204867893,4144.026965671,0.347722070,-2.198479850,0.016827901,0.001792060
2253,42.954516941,4911.357828776,0.330620105,-2.199622866,0.014410231,0.001796299
2481,47.047225952,5823.026777479,0.315108938,-2.198922534,0.012768216,0.001815796
2732,51.545974731,6898.331805759,0.297934710,-2.198339698,0.011235555,0.001792908
3008,56.518647936,8181.015272352,0.280346921,-2.198842541,0.009973314,0.001750522
3312,61.961963230,9706.771755642,0.263977089,-2.198141815,0.008653429,0.001752218
3646,68.004993015,11559.366617839,0.249589140,-2.196860667,0.007748074,0.001721700
4014,74.640969170,13771.216105143,0.235772813,-2.196958166,0.006647746,0.001548767
4419,81.915476481,16414.988718669,0.223022544,-2.195356764,0.005912781,0.001460605
4864,89.894929674,19555.166254679,0.209839808,-2.199237244,0.005295648,0.001481798
5354,98.727630615,23311.401384142,0.195701191,-2.196144826,0.004558987,0.001465691
5893,108.384173923,27828.858206855,0.184422250,-2.197302281,0.004141066,0.001331753
6486,119.042046441,33302.314227634,0.174960726,-2.197835593,0.003775703,0.001299540
7138,130.638829549,39729.772182888,0.163916482,-2.197169794,0.003358629,0.001276652
7855,143.386054145,47471.501763238,0.154417060,-2.198501148,0.002980550,0.001174927
8644,157.503606160,56823.032399495,0.145230150,-2.198403269,0.002528720,0.001125760
9512,172.945831299,68007.996717665,0.136818258,-2.198873229,0.002421909,0.001080831
10467,189.839270698,81333.275624593,0.128346365,-2.198001653,0.002097236,0.000997755
11518,208.591405233,97521.874499851,0.120609200,-2.196431608,0.001910739,0.000979953
12674,229.271218194,117127.562405056,0.114060497,-2.196656628,0.001673381,0.000885010
13945,251.819602119,140240.248106215,0.105738928,-2.196162444,0.001454671,0.000845167
15344,276.727249146,168227.003829956,0.098369842,-2.196010160,0.001429240,0.000798543
16882,304.006454468,201821.313400269,0.091843390,-2.198808903,0.001191881,0.000757853
18574,333.812274509,242164.750128852,0.086574278,-2.197531862,0.001080831,0.000717163
20436,366.874398126,290851.669933743,0.080406728,-2.196746438,0.000945197,0.000634087
22484,403.181722005,349296.281806098,0.074339249,-2.198047327,0.000856188,0.000601874
24737,443.043487549,420018.119301690,0.069869938,-2.196687855,0.000795152,0.000559489
27215,487.576246474,506917.523069594,0.066133668,-2.197507663,0.000694275,0.000539144
29941,535.966527303,610070.634658813,0.061845733,-2.197557293,0.000650194,0.000500997
32940,589.048268636,733326.531165229,0.056680281,-2.196018137,0.000577291,0.000450134
36238,648.023849487,884515.297505697,0.053084629,-2.197384370,0.000531514,0.000418769
39866,712.509801229,1065373.641484578,0.049206481,-2.194419207,0.000482347,0.000376383
43857,783.787950304,1286210.420227051,0.046790299,-2.194548561,0.000446743,0.000353495
48247,861.738210042,1549303.787584093,0.043133252,-2.194504603,0.000408596,0.000311110
53077,947.414932251,1867941.681618585,0.040477474,-2.196816781,0.000359429,0.000301785
58390,1042.221889920,2256646.219740126,0.038698960,-2.198157302,0.000321282,0.000295003
64234,1145.242685954,2717200.266766018,0.035812461,-2.198033050,0.000275506,0.000241597
70662,1259.593588935,3276576.025570340,0.032548529,-2.197051563,0.000269572,0.000235664
77733,1384.888264974,3949483.015870836,0.029591752,-2.196712843,0.000239054,0.000252618
85511,1523.325675117,4766587.039530437,0.027023353,-2.194850198,0.000233120,0.000218709
