time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.000508478,0.000608303,5.539880272,0.008877726,0.000501334,0.000906320
2,0.000512596,0.000650032,3.997278411,0.008844420,0.000558009,0.000882677
3,0.000778110,0.001002484,3.558363931,0.008859957,0.000737927,0.001110630
4,0.000959951,0.001319387,6.419053233,0.008830484,0.000913311,0.001449913
5,0.000914296,0.001278929,5.520283447,0.008857479,0.000879365,0.001225623
6,0.001272171,0.001978991,5.532219291,0.008885561,0.001117612,0.001030382
7,0.001043486,0.001650119,5.633408685,0.008899835,0.000984863,0.000975263
8,0.000948605,0.001728830,3.981684358,0.008771525,0.000788202,0.001125112
10,0.000808749,0.001200164,3.964126436,0.008909245,0.000705658,0.001005723
12,0.000849944,0.001396039,4.083366789,0.008895080,0.000755907,0.001163195
14,0.001187373,0.001724553,6.035229886,0.008898310,0.001080014,0.000732700
16,0.000948605,0.001735854,8.916287989,0.008816548,0.001009277,0.001204535
19,0.000589656,0.001849271,4.441192094,0.008808363,0.000498930,0.001213572
22,0.000926176,0.001422298,5.168583725,0.008863474,0.000892183,0.001081649
25,0.000924699,0.001822084,2.967794422,0.008911430,0.000747411,0.001114297
29,0.001088527,0.002045443,4.479418124,0.008902070,0.000918397,0.001203902
33,0.000927282,0.001632505,4.627181315,0.008786912,0.000869115,0.000974454
38,0.000718255,0.001941031,3.464025948,0.008839077,0.000534138,0.001120342
43,0.001010734,0.001982493,6.337860831,0.008845716,0.000886442,0.001130657
49,0.000809885,0.001865697,5.233142113,0.008879451,0.000706775,0.000692358
55,0.000550803,0.001450692,2.589043302,0.008876379,0.000398944,0.000933799
62,0.000736358,0.001414887,6.137239692,0.008871133,0.000786475,0.000972004
70,0.001101010,0.002143123,5.926797693,0.008827134,0.000966717,0.001086274
78,0.000978713,0.002057906,5.943286102,0.008838511,0.000878162,0.001201909
87,0.001005730,0.001631588,7.126269995,0.008804296,0.000962358,0.001126512
97,0.000961128,0.001830071,4.866521907,0.008894686,0.000850809,0.001424366
108,0.000759410,0.001863654,7.651599561,0.008930377,0.000759955,0.001231698
121,0.001016128,0.001825830,6.040895064,0.008803115,0.000951896,0.001542156
135,0.000455766,0.001776276,6.603841823,0.008860484,0.000563900,0.000946914
150,0.000960936,0.001351659,7.372181041,0.008944239,0.000998327,0.000935205
167,0.000960471,0.002082887,4.346801202,0.008816119,0.000753495,0.000930931
186,0.001149336,0.002080261,6.504994359,0.008875937,0.001009980,0.001086788
207,0.000860484,0.001566907,6.590783732,0.008823964,0.000843542,0.000933574
230,0.000631659,0.001745035,4.338747412,0.008864838,0.000482093,0.000926623
255,0.000852907,0.001776912,3.148667529,0.008867931,0.000674584,0.000853646
283,0.000847683,0.001850308,4.185130839,0.008814293,0.000753016,0.000722660
313,0.000826873,0.001103895,4.494032332,0.008857218,0.000813124,0.000700659
347,0.000891829,0.001653476,4.120294669,0.008876671,0.000724666,0.000942929
384,0.001277963,0.002530961,6.617742209,0.008886754,0.001027490,0.000635755
425,0.001413271,0.002100915,8.134867111,0.008910911,0.001321432,0.001370557
470,0.000904092,0.001760344,3.414114726,0.008874823,0.000759609,0.001040453
519,0.000861461,0.001504198,5.378991001,0.008837782,0.000840796,0.000834521
573,0.001172943,0.002377345,5.227430369,0.008907699,0.000945935,0.001151780
633,0.001147757,0.002647236,4.248156340,0.008857224,0.000858366,0.000821772
699,0.001123505,0.002065491,6.192501176,0.008848955,0.001022522,0.000714394
771,0.000875021,0.001276563,8.515600334,0.008943330,0.000881037,0.000864529
851,0.000862924,0.002115339,5.933785531,0.008834150,0.000710187,0.000912685
939,0.000404699,0.000952338,6.013829526,0.008825086,0.000502446,0.001285380
1036,0.000619943,0.001396942,7.369400609,0.008809261,0.000702719,0.000883064
1142,0.000550040,0.002305966,12.448237829,0.008890761,0.000697869,0.000714292
1259,0.000959075,0.001911108,10.054647916,0.008771385,0.000934812,0.001031096
1388,0.000840960,0.002347498,9.258207991,0.008901697,0.000865387,0.000892271
1530,0.000784568,0.001832267,8.808803492,0.008862203,0.000732063,0.000824581
1686,0.000788044,0.001008756,10.290353008,0.008918300,0.000879896,0.001043530
1857,0.000772721,0.001284117,7.383618893,0.008791849,0.000706747,0.000813253
2046,0.000645162,0.001954510,7.833947115,0.008862334,0.000672799,0.001312677
2253,0.000770507,0.002559942,7.740037324,0.008902874,0.000691751,0.000851889
2481,0.000794156,0.002177091,9.126761049,0.008887651,0.000794190,0.000775700
2732,0.000739777,0.001958070,8.044314396,0.008905607,0.000715055,0.001110724
3008,0.000692017,0.002636492,11.484039217,0.008904268,0.000707072,0.000576437
3312,0.000633322,0.002127862,8.355201992,0.008788406,0.000629022,0.001085747
3646,0.000619561,0.001479962,6.972941373,0.008763074,0.000660330,0.000787677
4014,0.001435925,0.002425325,12.720303463,0.008834735,0.001396430,0.000931693
4419,0.000938326,0.002310157,5.301802086,0.008968168,0.000741046,0.001178503
4864,0.000617905,0.002422951,7.863957160,0.008881128,0.000607568,0.001025166
5354,0.001047508,0.003092652,9.585738309,0.008887374,0.000945657,0.001017259
5893,0.000560828,0.002114780,6.665016493,0.008862133,0.000672790,0.001033254
6486,0.001006252,0.002486534,7.394066072,0.008909514,0.000944718,0.001306028
7138,0.001641688,0.002684774,9.586150077,0.008894507,0.001465848,0.001106938
7855,0.001138377,0.002359514,11.420541329,0.008899693,0.001161075,0.000833710
8644,0.001052189,0.003832763,6.981971631,0.008911579,0.000793718,0.001068153
9512,0.001219174,0.003816623,9.522353474,0.008862054,0.001045599,0.000896876
10467,0.001236638,0.003910385,12.343438510,0.008921649,0.001099165,0.000838480
11518,0.000830298,0.003467132,7.099851459,0.008879718,0.000702074,0.000980832
12674,0.001191461,0.003787626,7.508150126,0.008984587,0.000967587,0.000849696
13945,0.000911042,0.003076079,9.705384964,0.008942284,0.000808870,0.000741613
15344,0.001040333,0.004087460,7.586903508,0.008980514,0.000807187,0.000970292
16882,0.001043183,0.004842928,10.224271765,0.008973232,0.000955644,0.000730158
18574,0.001017446,0.003872621,9.662816181,0.009002056,0.000817668,0.000694774
20436,0.001045197,0.003963289,11.820689135,0.008959793,0.000990749,0.001160894
22484,0.001023652,0.003803607,7.299315165,0.009003614,0.000898845,0.001003087
24737,0.001143169,0.005215252,7.365706777,0.008964837,0.000752282,0.001093466
27215,0.001213296,0.003869586,9.107981753,0.008975359,0.001009791,0.000814117
29941,0.001254635,0.003128576,5.982650860,0.008945341,0.001036511,0.001024037
32940,0.001161347,0.004042306,7.076303811,0.009017738,0.000852036,0.000975782
36238,0.000923647,0.004530588,4.981836898,0.009055408,0.000544083,0.001453515
39866,0.000801437,0.003580113,7.606270515,0.009055466,0.000851542,0.000368750
43857,0.001286489,0.004471970,4.983774711,0.008973971,0.000938354,0.001160260
48247,0.001669688,0.004861647,4.380597291,0.008960350,0.001217102,0.000746839
53077,0.001073160,0.003826910,6.958325698,0.008964612,0.000871440,0.001077187
58390,0.000930592,0.003447421,6.187332277,0.008892653,0.000818953,0.000847086
64234,0.001000358,0.004480237,5.555680845,0.008956550,0.000766840,0.000890406
