time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
0.000027127,0.000000000,0.000000000,-1.000000000,-1.996177805,1.000000000,1.000000000
0.000054253,0.000000000,0.000000000,-1.000000000,-1.996177805,1.000000000,1.000000000
0.000081380,0.000000000,0.000000000,-1.000000000,-1.996177805,1.000000000,1.000000000
0.000108507,0.000013563,0.000013563,2303.000000000,-1.996209813,0.999986437,0.999986437
0.000135634,0.000027127,0.000027127,4607.000000000,-1.996191347,0.999972873,0.999972873
0.000162760,0.000027127,0.000027127,4607.000000000,-1.996191347,0.999972873,0.999972873
0.000189887,0.000027127,0.000027127,4607.000000000,-1.996191347,0.999972873,0.999972873
0.000217014,0.000027127,0.000027127,4607.000000000,-1.996191347,0.999972873,0.999972873
0.000271267,0.000040690,0.000040690,6911.000000000,-1.996189695,0.999959310,0.999959310
0.000325521,0.000054253,0.000054253,5759.000000000,-1.996181681,0.999945747,0.999945747
0.000379774,0.000054253,0.000054253,5759.000000000,-1.996181681,0.999945747,0.999945747
0.000434028,0.000054253,0.000054253,5759.000000000,-1.996181681,0.999945747,0.999945747
0.000515408,0.000054253,0.000054253,5759.000000000,-1.996181681,0.999945747,0.999945747
0.000596788,0.000054253,0.000054253,5759.000000000,-1.996181681,0.999945747,0.999945747
0.000678168,0.000054253,0.000054253,5759.000000000,-1.996181681,0.999945747,0.999945747
0.000786675,0.000122070,0.000122070,2495.000000000,-1.996132784,0.999877930,0.999877930
0.000895182,0.000135634,0.000135634,4799.000000000,-1.996133982,0.999864366,0.999864366
0.001030816,0.000135634,0.000135634,4799.000000000,-1.996133982,0.999864366,0.999864366
0.001166450,0.000135634,0.000135634,4799.000000000,-1.996133982,0.999864366,0.999864366
0.001329210,0.000149197,0.000149197,4683.800000000,-1.996135848,0.999850803,0.999850803
0.001491970,0.000149197,0.000149197,4683.800000000,-1.996135848,0.999850803,0.999850803
0.001681858,0.000189887,0.000189887,3263.000000000,-1.996170443,0.999810113,0.999810113
0.001898872,0.000203451,0.000203451,3147.800000000,-1.996164950,0.999796549,0.999796549
0.002115885,0.000244141,0.000244141,2324.942857143,-1.996142172,0.999755859,0.999755859
0.002360026,0.000271267,0.000271267,1940.942857143,-1.996155245,0.999728733,0.999728733
0.002631293,0.000271267,0.000271267,1940.942857143,-1.996155245,0.999728733,0.999728733
0.002929688,0.000311957,0.000311957,1672.142857143,-1.996165713,0.999688043,0.999688043
0.003282335,0.000420464,0.000420464,1215.000000000,-1.996195916,0.999579536,0.999579536
0.003662109,0.000461155,0.000461155,1087.000000000,-1.996216022,0.999538845,0.999538845
0.004069010,0.000501845,0.000501845,1003.800000000,-1.996196427,0.999498155,0.999498155
0.004530165,0.000569661,0.000569661,886.854545455,-1.996148547,0.999430339,0.999430339
0.005045573,0.000623915,0.000623915,818.916083916,-1.996161578,0.999376085,0.999376085
0.005615234,0.000705295,0.000705295,710.032967033,-1.996172348,0.999294705,0.999294705
0.006239149,0.000800239,0.000800239,625.742857143,-1.996143456,0.999199761,0.999199761
0.006917318,0.000895182,0.000895182,560.129411765,-1.996112861,0.999104818,0.999104818
0.007676866,0.001112196,0.001112196,449.904716336,-1.996052919,0.998887804,0.998887804
0.008490668,0.001274957,0.001274957,392.874285714,-1.996027320,0.998725043,0.998725043
0.009412977,0.001532661,0.001532661,327.216570793,-1.996006192,0.998467339,0.998467339
0.010416667,0.001749674,0.001749674,287.041126778,-1.995972666,0.998250326,0.998250326
0.011528863,0.001966688,0.001966688,255.313286713,-1.995946410,0.998033312,0.998033312
0.012749566,0.002088759,0.002088759,239.390243902,-1.995930403,0.997911241,0.997911241
0.014078776,0.002387153,0.002387153,209.160497926,-1.995961939,0.997612847,0.997612847
0.015543620,0.002604167,0.002604167,191.528968903,-1.995943704,0.997395833,0.997395833
0.017171224,0.002726237,0.002726237,183.012593850,-1.995973760,0.997273763,0.997273763
0.018961589,0.002970378,0.002970378,167.538268749,-1.996031040,0.997029622,0.997029622
0.020914714,0.003350152,0.003350152,148.456856825,-1.996018304,0.996649848,0.996649848
0.023084852,0.003757053,0.003757053,132.184698357,-1.996030108,0.996242947,0.996242947
0.025472005,0.004231771,0.004231771,117.240580354,-1.996118634,0.995768229,0.995768229
0.028103299,0.004747179,0.004828559,106.193350721,-1.996105071,0.995273166,0.995273166
0.030978733,0.005208333,0.005289714,96.648477924,-1.996075563,0.994812012,0.994812012
0.034152561,0.005750868,0.005832248,87.156009894,-1.996195611,0.994269477,0.994269477
0.037651910,0.006144206,0.006225586,81.449693299,-1.996208562,0.993876139,0.993876139
0.041503906,0.006822374,0.006917318,73.291422156,-1.996070582,0.993204753,0.993204753
0.045735677,0.007568359,0.007676866,66.025825235,-1.996167077,0.992465549,0.992465549
0.050374349,0.008368598,0.008477105,59.583713937,-1.996284955,0.991665310,0.991665310
