time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.148234049,0.216674805,3.930777700,-1.994261809,0.871215820,0.000888401
2,0.257052951,0.519463433,2.930195800,-1.994515658,0.807325575,0.000874837
3,0.349283854,0.856743707,2.510767006,-1.995055739,0.763916016,0.000854492
4,0.432020399,1.220770942,2.269163956,-1.994443675,0.729688856,0.000800239
5,0.506415473,1.596842448,2.112725156,-1.994205449,0.701734755,0.000840929
6,0.578369141,2.023383247,2.023894657,-1.993026241,0.678907606,0.000888401
7,0.649319119,2.475436740,1.935244929,-1.995051794,0.657470703,0.000861274
8,0.716118707,2.940958659,1.868353853,-1.995688757,0.638088650,0.000915527
10,0.848334418,3.924465603,1.727348044,-1.996286809,0.603095161,0.000908746
12,0.967420790,4.887383355,1.610767566,-1.997322404,0.574449327,0.000840929
14,1.086791992,5.997694227,1.537688267,-1.993272308,0.550272624,0.000861274
16,1.201714410,7.202175564,1.492112974,-1.994210350,0.526746962,0.000888401
19,1.377848307,9.158691406,1.411976581,-1.994315801,0.496588813,0.000929091
22,1.546603733,11.282416450,1.358354903,-1.991785509,0.470269097,0.000915527
25,1.719061957,13.516764323,1.286932851,-1.989781754,0.446126302,0.000990126
29,1.927001953,16.628485786,1.239171691,-1.991925064,0.418362088,0.000901964
33,2.126532661,19.576212565,1.164557921,-1.996095057,0.393208822,0.000874837
38,2.385484484,24.190646701,1.125584251,-1.995922690,0.366746691,0.000881619
43,2.635118273,28.730482313,1.068799123,-1.995811651,0.341722276,0.000834147
49,2.909369575,33.940728082,1.004632924,-1.997485200,0.317728678,0.000807020
55,3.206949870,40.267361111,0.957262443,-1.993335584,0.294637044,0.000834147
62,3.550469293,48.272908529,0.914165106,-1.992532639,0.272616916,0.000834147
70,3.927218967,57.777723524,0.872949726,-1.994252630,0.250542535,0.000834147
78,4.310533312,68.211005317,0.835278918,-1.993849556,0.230305990,0.000854492
87,4.720377604,80.768554688,0.812204872,-1.994850576,0.213087294,0.000990126
97,5.177612305,95.244818793,0.776362136,-1.993292716,0.195054796,0.000915527
108,5.681369358,111.905856662,0.733349247,-1.992657807,0.178337945,0.001051161
