time,mean_squared_displacement,mean_quartic_displacement,non_gaussian_parameter,energy,particle_overlap,type_overlap
1,0.003876340,0.008897170,0.114282494,0.012807159,0.002631387,0.000046328
2,0.004468589,0.024770830,0.142084349,0.012087231,0.002196582,0.000051350
3,0.009275599,0.039148771,0.062252443,0.012613338,0.004109499,0.000035020
4,0.013445597,0.071139156,0.074170865,0.011695332,0.004891113,0.000046985
5,0.013489482,0.086693020,0.104339628,0.012479527,0.004876900,0.000085782
6,0.014961536,0.093898671,0.060710093,0.011417982,0.002843125,0.000081003
7,0.012910835,0.109494192,0.084936283,0.010169241,0.003446626,0.000081003
8,0.016182244,0.119389080,0.113558080,0.011224286,0.005076228,0.000181803
10,0.010863572,0.129853155,0.107840109,0.009583027,0.005466537,0.000128196
12,0.007425726,0.186699993,0.085036225,0.007437951,0.004271033,0.000151845
14,0.013146918,0.303650871,0.076698002,0.005462084,0.005597597,0.000188428
16,0.014904210,0.413794308,0.091858762,0.007800655,0.005825999,0.000169225
19,0.008877312,0.389958269,0.095599694,0.008769817,0.007793399,0.000138983
22,0.020868954,0.522648306,0.097910806,0.009410433,0.008496834,0.000238936
25,0.015963518,0.521587551,0.081277640,0.008492523,0.006905588,0.000183315
29,0.017434115,0.551444564,0.074686278,0.009376317,0.007522817,0.000258654
33,0.016574140,0.607418705,0.065736666,0.012197287,0.007827912,0.000189726
38,0.025030570,0.505390670,0.036443715,0.008120717,0.005357164,0.000095266
43,0.018723318,0.585940647,0.038657144,0.003107759,0.004927088,0.000104769
49,0.027539414,0.915399287,0.027614932,0.007454331,0.003660225,0.000104769
55,0.028847563,1.314009300,0.036668032,0.009834984,0.004127218,0.000145872
62,0.044361393,1.687738341,0.025169534,0.012807883,0.004010562,0.000094944
70,0.045654708,1.278952511,0.006959713,0.010581304,0.004050946,0.000071342
78,0.044599794,1.663175997,0.007166978,0.012709408,0.004773689,0.000105061
87,0.063752809,2.371027402,0.023969817,0.012923871,0.006197193,0.000051944
97,0.057156548,2.214497782,0.023267319,0.010647723,0.004910738,0.000055923
108,0.051208285,2.724592639,0.026725444,0.009943729,0.003425379,0.000184482
